country_name,type,product,flow,year,value,price,percentChange,change,price_ma,month,quarter,dayofweek,Country Name,Country Code,country_value
Czech Republic,Balance,Crude oil,Industrial Production,2021,87.0,74.88,13.713,9.03,74.17,12,4,2,Czech Republic,CZE,2.89
Denmark,Balance,Crude oil,Industrial Production,2021,3239.0,52.2,7.585,3.68,48.68666666666667,1,1,4,Denmark,DNK,4.8
Denmark,Balance,Crude oil,Industrial Production,2021,3239.0,61.5,17.816,9.3,54.07333333333335,2,1,0,Denmark,DNK,4.8
Denmark,Balance,Crude oil,Industrial Production,2021,3239.0,59.16,-3.805,-2.34,57.620000000000005,3,1,0,Denmark,DNK,4.8
Denmark,Balance,Crude oil,Industrial Production,2021,3239.0,63.58,7.471,4.42,61.41333333333333,4,2,3,Denmark,DNK,4.8
Denmark,Balance,Crude oil,Industrial Production,2021,3239.0,66.93,5.269,3.35,63.223333333333336,5,2,5,Denmark,DNK,4.8
Denmark,Balance,Crude oil,Industrial Production,2021,3239.0,73.47,9.771,6.54,67.99333333333334,6,2,1,Denmark,DNK,4.8
Denmark,Balance,Crude oil,Industrial Production,2021,3239.0,73.95,0.653,0.48,71.45,7,3,3,Denmark,DNK,4.8
Denmark,Balance,Crude oil,Industrial Production,2021,3239.0,68.5,-7.37,-5.45,71.97333333333334,8,3,6,Denmark,DNK,4.8
Denmark,Balance,Crude oil,Industrial Production,2021,3239.0,75.03,9.533,6.53,72.49333333333333,9,3,2,Denmark,DNK,4.8
Denmark,Balance,Crude oil,Industrial Production,2021,3239.0,81.78,8.996,6.75,75.10333333333334,10,4,4,Denmark,DNK,4.8
Denmark,Balance,Crude oil,Industrial Production,2021,3239.0,65.85,-19.479,-15.93,74.22,11,4,0,Denmark,DNK,4.8
Denmark,Balance,Crude oil,Industrial Production,2021,3239.0,74.88,13.713,9.03,74.17,12,4,2,Denmark,DNK,4.8
Estonia,Balance,Crude oil,Industrial Production,2021,0.0,52.2,7.585,3.68,48.68666666666667,1,1,4,Estonia,EST,6.33
Estonia,Balance,Crude oil,Industrial Production,2021,0.0,61.5,17.816,9.3,54.07333333333335,2,1,0,Estonia,EST,6.33
Estonia,Balance,Crude oil,Industrial Production,2021,0.0,59.16,-3.805,-2.34,57.620000000000005,3,1,0,Estonia,EST,6.33
Estonia,Balance,Crude oil,Industrial Production,2021,0.0,63.58,7.471,4.42,61.41333333333333,4,2,3,Estonia,EST,6.33
Estonia,Balance,Crude oil,Industrial Production,2021,0.0,66.93,5.269,3.35,63.223333333333336,5,2,5,Estonia,EST,6.33
Estonia,Balance,Crude oil,Industrial Production,2021,0.0,73.47,9.771,6.54,67.99333333333334,6,2,1,Estonia,EST,6.33
Estonia,Balance,Crude oil,Industrial Production,2021,0.0,73.95,0.653,0.48,71.45,7,3,3,Estonia,EST,6.33
Estonia,Balance,Crude oil,Industrial Production,2021,0.0,68.5,-7.37,-5.45,71.97333333333334,8,3,6,Estonia,EST,6.33
Estonia,Balance,Crude oil,Industrial Production,2021,0.0,75.03,9.533,6.53,72.49333333333333,9,3,2,Estonia,EST,6.33
Estonia,Balance,Crude oil,Industrial Production,2021,0.0,81.78,8.996,6.75,75.10333333333334,10,4,4,Estonia,EST,6.33
Estonia,Balance,Crude oil,Industrial Production,2021,0.0,65.85,-19.479,-15.93,74.22,11,4,0,Estonia,EST,6.33
Estonia,Balance,Crude oil,Industrial Production,2021,0.0,74.88,13.713,9.03,74.17,12,4,2,Estonia,EST,6.33
Finland,Balance,Crude oil,Industrial Production,2021,0.0,52.2,7.585,3.68,48.68666666666667,1,1,4,Finland,FIN,7.53
Finland,Balance,Crude oil,Industrial Production,2021,0.0,61.5,17.816,9.3,54.07333333333335,2,1,0,Finland,FIN,7.53
Finland,Balance,Crude oil,Industrial Production,2021,0.0,59.16,-3.805,-2.34,57.620000000000005,3,1,0,Finland,FIN,7.53
